range_yd,elev_in,windage_in,projectile.flight_time,energy_ft_lbf,vel_xy_ft_s
0.0,0.0,0.0,0.0,396.0,1200.0
25.0,0.4,0.0,0.0,355.0,1136.0
50.0,-0.8,0.0,0.0,323.0,1083.0
75.0,-3.4,0.0,0.0,297.0,1039.0
100.0,-8.0,0.0,0.0,277.0,1002.0
